time,low,high,open,close,volume,token,Pivot,R1,S1,R2,S2,Buy_Signal,Sell_Signal,Position
2024-03-25,180.96,194.6,183.87,188.99,1380524.45982921,SOL,191.02333333333334,197.48666666666668,184.01666666666668,204.49333333333334,177.55333333333334,1,0,1
2024-03-24,171.32,186.8,172.68,183.89,773163.78833068,SOL,188.1833333333333,195.4066666666666,181.76666666666662,201.8233333333333,174.54333333333332,1,0,1
2024-03-23,170.33,180.0,175.24,172.7,789254.28539747,SOL,180.67,190.01999999999998,174.53999999999996,196.15,165.18999999999997,1,0,1
2024-03-22,167.6,181.89,179.41,175.24,1171269.14801193,SOL,174.34333333333333,178.35666666666665,168.68666666666667,184.01333333333332,164.67333333333335,1,1,1
2024-03-21,175.5,195.79,191.81,179.4,1298865.92067615,SOL,174.91,182.22,167.93,189.2,160.62,0,1,-1
2024-03-20,162.41,193.33,169.76,191.91,2495156.64072634,SOL,183.5633333333333,191.6266666666666,171.33666666666662,203.8533333333333,163.2733333333333,1,1,1
2024-03-19,165.37,198.7,195.9,169.76,3064329.55900921,SOL,182.54999999999998,202.68999999999997,171.76999999999995,213.47,151.62999999999997,1,0,1
2024-03-18,193.6,209.9,201.7,195.96,2227273.86347729,SOL,177.9433333333333,190.5166666666666,157.1866666666666,211.27333333333328,144.61333333333332,0,1,-1
2024-03-17,178.55,204.12,181.98,201.69,1907137.49023163,SOL,199.82000000000002,206.04000000000005,189.74000000000004,216.12000000000003,183.52,1,0,1
2024-03-16,176.71,197.86,184.0,181.99,2428380.90451423,SOL,194.78666666666666,211.0233333333333,185.45333333333332,220.35666666666665,169.21666666666667,1,0,1
2024-03-15,164.58,188.88,176.69,183.91,3280753.57055337,SOL,185.52,194.33,173.18,206.67000000000002,164.37,1,0,1
2024-03-14,159.2,178.35,163.95,176.69,2419785.46609521,SOL,179.12333333333333,193.66666666666666,169.36666666666667,203.42333333333332,154.82333333333335,1,0,1
2024-03-13,148.78,167.0,151.1,163.95,1978293.24666427,SOL,171.41333333333333,183.62666666666667,164.47666666666666,190.56333333333333,152.26333333333332,1,0,1
2024-03-12,141.72,155.0,148.91,151.06,2110807.52605998,SOL,159.91,171.04,152.82,178.13,141.69,1,0,1
2024-03-11,137.0,150.18,144.58,148.9,1851440.86302679,SOL,149.26000000000002,156.80000000000004,143.52000000000004,162.54000000000002,135.98000000000002,1,0,1
2024-03-10,140.61,148.73,144.58,144.56,982832.66049622,SOL,145.36,153.72000000000003,140.54000000000002,158.54000000000002,132.18,0,0,0
2024-03-09,144.0,149.49,145.12,144.58,622487.61812096,SOL,144.63333333333335,148.6566666666667,140.53666666666672,152.75333333333333,136.51333333333338,0,1,-1
2024-03-08,142.09,153.0,144.05,145.12,1677393.50257527,SOL,146.02333333333334,148.04666666666668,142.55666666666667,151.51333333333335,140.53333333333333,1,1,1
2024-03-07,130.64,150.0,130.91,144.06,2846946.8939359,SOL,146.73666666666668,151.38333333333335,140.47333333333336,157.64666666666668,135.82666666666668,1,0,1
2024-03-06,120.08,134.95,125.48,130.88,1616349.06906451,SOL,141.56666666666666,152.49333333333334,133.13333333333333,160.92666666666668,122.20666666666665,1,0,1
2024-03-05,110.0,143.0,133.48,125.55,3190928.13761199,SOL,128.63666666666666,137.19333333333333,122.32333333333332,143.50666666666666,113.76666666666667,1,1,1
2024-03-04,127.51,134.98,130.22,133.49,1524400.4153017,SOL,126.18333333333334,142.36666666666667,109.36666666666667,159.18333333333334,93.18333333333334,0,0,0
